	Title	Author	Publication Date	URL	Text
0	Title not found	Author not found	2024-01-23T09:48:56Z	https://www.egaliteetreconciliation.fr/C-est-parti-mon-qui-QUI-18-De-quoi-le-gouvernement-Attal-est-il-le-nom-74787.html	Text not found
1	Title not found	Author not found	2024-01-15T09:09:34Z	https://www.egaliteetreconciliation.fr/Soral-en-live-morceaux-choisis-74717.html	Text not found
2	Title not found	Author not found	2024-01-12T19:18:54Z	https://www.egaliteetreconciliation.fr/Pierre-de-Brague-sur-Ondes-de-choc-TV-de-Rachid-Achachi-Vers-un-depassement-du-capitalisme-74699.html	Text not found
3	Title not found	Author not found	2023-12-29T13:32:20Z	https://www.egaliteetreconciliation.fr/Faits-Documents-l-emission-11-Les-enseignements-de-l-affaire-Brigitte-74581.html	Text not found
4	Title not found	Author not found	2023-12-26T22:55:00Z	https://www.egaliteetreconciliation.fr/Jean-Michel-ou-Brigitte-Trogneux-Xavier-Poussard-dit-tout-74505.html	Text not found
5	Title not found	Author not found	2023-12-25T16:44:00Z	https://www.egaliteetreconciliation.fr/Soral-a-presque-toujours-raison-Episode-25-74205.html	Text not found
6	Title not found	Author not found	2023-12-25T11:26:10Z	https://www.egaliteetreconciliation.fr/Soral-repond-sur-ERFM-Trente-huitieme-fournee-74547.html	Text not found
7	Title not found	Author not found	2023-12-15T09:36:13Z	https://www.egaliteetreconciliation.fr/Pierre-de-Brague-parle-revolution-74468.html	Text not found
8	Title not found	Author not found	2023-11-19T13:08:17Z	https://www.egaliteetreconciliation.fr/Evenement-La-Divine-Comedie-de-Dante-Alighieri-sur-Kontre-Kulture-74195.html	Text not found
9	Title not found	Author not found	2023-11-19T09:51:00Z	https://www.egaliteetreconciliation.fr/C-est-parti-mon-qui-QUI-17-Comprendre-le-conflit-israelo-palestinien-73819.html	Text not found
10	Title not found	Author not found	2023-11-13T16:20:34Z	https://www.egaliteetreconciliation.fr/Alain-Soral-chez-Kentra-les-confessions-d-un-dragueur-sociologue-74131.html	Text not found
11	Title not found	Author not found	2023-11-05T10:16:43Z	https://www.egaliteetreconciliation.fr/Antisemitisme-antijudaisme-antisionisme-Ce-qui-est-interdit-ce-qui-est-autorise-74063.html	Text not found
12	Title not found	Author not found	2023-10-30T21:23:48Z	https://www.egaliteetreconciliation.fr/Qui-dirige-nos-dirigeants-L-Ordre-mondial-d-Eustace-Mullins-73958.html	Text not found
13	Title not found	Author not found	2023-10-26T13:13:43Z	https://www.egaliteetreconciliation.fr/Alain-Soral-presente-Sociologie-du-dragueur-73976.html	Text not found
14	Title not found	Author not found	2023-10-22T12:00:00Z	https://www.egaliteetreconciliation.fr/Hamas-terrorisme-territoires-occupes-73914.html	Text not found
15	Title not found	Author not found	2023-10-22T10:40:00Z	https://www.egaliteetreconciliation.fr/Woke-et-cancel-de-la-France-aux-Etats-Unis-aller-retour-Un-cours-magistral-d-Alain-Soral-73860.html	Text not found
16	Title not found	Author not found	2023-10-08T11:29:13Z	https://www.egaliteetreconciliation.fr/Condamnation-a-la-prison-ferme-soutenez-Alain-Soral-73783.html	Text not found
17	Title not found	Author not found	2023-10-02T16:04:53Z	https://www.egaliteetreconciliation.fr/Communique-d-Alain-Soral-a-propos-de-sa-condamnation-a-de-la-prison-ferme-en-Suisse-pour-un-73728.html	Text not found
18	Title not found	Author not found	2023-09-27T23:05:00Z	https://www.egaliteetreconciliation.fr/Soral-a-presque-toujours-raison-24-Vers-un-changement-de-paradigme-73442.html	Text not found
19	Title not found	Author not found	2023-09-27T19:41:50Z	https://www.egaliteetreconciliation.fr/Declaration-d-Alain-Soral-a-sa-sortie-du-tribunal-suisse-ou-il-etait-a-nouveau-juge-pour-homophobie-73684.html	Text not found
20	Title not found	Author not found	2023-09-20T13:00:08Z	https://www.egaliteetreconciliation.fr/Alain-Soral-Propos-au-bord-du-lac-73620.html	Text not found
21	Title not found	Author not found	2023-09-15T13:07:40Z	https://www.egaliteetreconciliation.fr/C-est-parti-mon-qui-QUI-16-L-homo-souverainisme-73580.html	Text not found
22	Title not found	Author not found	2023-08-30T10:31:49Z	https://www.egaliteetreconciliation.fr/Soral-en-live-73421.html	Text not found
23	Title not found	Author not found	2023-08-26T06:45:00Z	https://www.egaliteetreconciliation.fr/Le-Top-10-des-fausses-agressions-antisemites-31321.html	Text not found
24	Title not found	Author not found	2023-08-17T13:01:48Z	https://www.egaliteetreconciliation.fr/Le-mystere-Claude-Pompidou-73320.html	Text not found
25	Title not found	Author not found	2023-08-09T12:03:02Z	https://www.egaliteetreconciliation.fr/De-la-societe-organique-a-la-societe-de-contrat-un-cours-magistral-d-Alain-Soral-73261.html	Text not found
26	Title not found	Author not found	2023-08-04T13:25:12Z	https://www.egaliteetreconciliation.fr/Pourquoi-tant-de-haine-57-Retour-de-Syrie-73210.html	Text not found
27	Title not found	Author not found	2023-07-30T22:21:00Z	https://www.egaliteetreconciliation.fr/Soral-a-presque-toujours-raison-Episode-23-72927.html	Text not found
28	Title not found	Author not found	2023-07-30T09:04:03Z	https://www.egaliteetreconciliation.fr/Soral-repond-sur-ERFM-Trente-septieme-fournee-73160.html	Text not found
29	Title not found	Author not found	2023-07-21T21:36:00Z	https://www.egaliteetreconciliation.fr/L-unite-francaise-contre-le-mondialisme-Alain-Soral-etait-en-direct-sur-YouTube-ce-21-juillet-2023-73088.html	Text not found
30	Title not found	Author not found	2023-07-03T22:02:16Z	https://www.egaliteetreconciliation.fr/De-la-guerre-civile-en-France-Communique-video-d-Alain-Soral-72910.html	Text not found
31	Title not found	Author not found	2023-07-01T02:20:00Z	https://www.egaliteetreconciliation.fr/Alain-Soral-De-la-guerre-civile-en-France-72887.html	Text not found
32	Title not found	Author not found	2023-06-27T11:44:47Z	https://www.egaliteetreconciliation.fr/C-est-parti-mon-qui-QUI-15-Le-pu-putsch-72851.html	Text not found
33	Title not found	Author not found	2023-06-22T17:01:00Z	https://www.egaliteetreconciliation.fr/Initiation-a-la-savate-avec-Alain-Soral-72764.html	Text not found
34	Title not found	Author not found	2023-06-05T16:54:05Z	https://www.egaliteetreconciliation.fr/Procurez-vous-la-premiere-Quenelle-d-Alain-Soral-72618.html	Text not found
35	Title not found	Author not found	2023-05-28T18:21:27Z	https://www.egaliteetreconciliation.fr/Faits-Documents-l-emission-8-Les-controleurs-d-opposition-Hanouna-Bercoff-Goldnadel-72535.html	Text not found
36	Title not found	Author not found	2023-05-25T21:13:44Z	https://www.egaliteetreconciliation.fr/E-R-en-2023-entretien-avec-Pierre-de-Brague-72505.html	Text not found
37	Title not found	Author not found	2023-05-23T12:04:51Z	https://www.egaliteetreconciliation.fr/Qui-est-Cyril-Hanouna-2-Le-numero-518-de-Faits-Documents-est-disponible-72479.html	Text not found
38	Title not found	Author not found	2023-05-16T23:55:00Z	https://www.egaliteetreconciliation.fr/Soral-a-presque-toujours-raison-Episode-22-71390.html	Text not found
39	Title not found	Author not found	2023-05-16T16:32:08Z	https://www.egaliteetreconciliation.fr/Le-temoignage-et-l-analyse-d-Alain-Soral-sur-l-affaire-Ramadan-72406.html	Text not found
40	Title not found	Author not found	2023-05-09T13:12:07Z	https://www.egaliteetreconciliation.fr/Qui-est-Cyril-Hanouna-Le-numero-517-de-Faits-Documents-est-disponible-72327.html	Text not found
41	Title not found	Author not found	2023-05-02T11:41:38Z	https://www.egaliteetreconciliation.fr/C-est-parti-mon-qui-QUI-14-Le-narratif-OVNI-72247.html	Text not found
42	Title not found	Author not found	2023-04-29T19:30:35Z	https://www.egaliteetreconciliation.fr/Matt-Walsh-Comment-l-ideologie-transgenre-detruit-la-vie-humaine-et-le-bon-sens-72211.html	Text not found
43	Title not found	Author not found	2023-04-23T15:53:01Z	https://www.egaliteetreconciliation.fr/Louis-le-Dernier-dit-Celine-4-Semmelweis-premier-volet-72149.html	Text not found
44	Title not found	Author not found	2023-04-19T20:33:20Z	https://www.egaliteetreconciliation.fr/Dossier-special-E-R-Le-pape-et-l-empereur-les-origines-medievales-de-la-faillite-europeenne-72099.html	Text not found
45	Title not found	Author not found	2023-04-12T11:43:41Z	https://www.egaliteetreconciliation.fr/On-s-embrasse-et-on-oublie-22-Le-point-sur-les-menaces-d-emprisonnement-qui-pesent-sur-Alain-Soral-72005.html	Text not found
46	Title not found	Author not found	2023-03-27T21:08:34Z	https://www.egaliteetreconciliation.fr/C-est-parti-mon-qui-QUI-13-49-3-et-apres-71826.html	Text not found
47	Title not found	Author not found	2023-03-23T20:43:00Z	https://www.egaliteetreconciliation.fr/Faits-Documents-l-emission-7-L-opposition-controlee-71736.html	Text not found
48	Title not found	Author not found	2023-03-22T23:27:25Z	https://www.egaliteetreconciliation.fr/Soral-repond-sur-ERFM-Trente-sixieme-fournee-71772.html	Text not found
49	Title not found	Author not found	2023-03-02T09:57:01Z	https://www.egaliteetreconciliation.fr/Alain-Soral-Conseils-de-lecture-fevrier-2023-71518.html	Text not found
50	Title not found	Author not found	2023-02-11T20:48:44Z	https://www.egaliteetreconciliation.fr/Tribalisme-et-universel-ma-reponse-depassionnee-a-Dieudonne-71307.html	Text not found
51	Title not found	Author not found	2023-02-02T10:39:53Z	https://www.egaliteetreconciliation.fr/Qui-est-Francois-Ruffin-Le-numero-514-de-Faits-Documents-est-disponible-71196.html	Text not found
52	Title not found	Author not found	2023-01-23T15:22:15Z	https://www.egaliteetreconciliation.fr/C-est-parti-mon-qui-QUI-12-Techouva-71093.html	Text not found
53	Title not found	Author not found	2023-01-13T13:10:05Z	https://www.egaliteetreconciliation.fr/Foutu-pour-foutu-70973.html	Text not found
54	Title not found	Author not found	2023-01-11T14:38:39Z	https://www.egaliteetreconciliation.fr/Techouva-70952.html	Text not found
55	Title not found	Author not found	2023-01-08T08:35:51Z	https://www.egaliteetreconciliation.fr/Le-judaisme-pour-les-nuls-70903.html	Text not found
